stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000074548,0.0000011305,1,0.564971,0.564971
forward,0.0026660274,0.0004043031,2001,25.093299,0.012540
backward_update,0.0042093111,0.0006383420,2001,39.619060,0.019800
evaluation,0.0014162938,0.0002147810,11,17.485376,1.589580
training_loop,0.0068753385,0.0010426451,12,76.518216,6.376518
