stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000075662,0.0000011474,1,0.581435,0.581435
forward,0.0041596994,0.0006308184,2001,40.285349,0.020133
backward_update,0.0063357240,0.0009608125,2001,61.359448,0.030664
evaluation,0.0020114847,0.0003050417,11,22.943655,2.085787
training_loop,0.0104954234,0.0015916310,12,114.152223,9.512685
