stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000631368,0.0000095747,1,1.991543,1.991543
forward,0.0012906094,0.0001957209,2001,11.761557,0.005878
backward_update,0.0021640566,0.0003281792,2001,19.721439,0.009856
evaluation,0.0008141332,0.0001234633,11,12.516549,1.137868
training_loop,0.0034546660,0.0005239001,12,42.287420,3.523952
