stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000613077,0.0000092973,1,2.056618,2.056618
forward,0.0013020963,0.0001974629,2001,11.958671,0.005976
backward_update,0.0021557014,0.0003269121,2001,19.798324,0.009894
evaluation,0.0008339407,0.0001264671,11,12.760835,1.160076
training_loop,0.0034577978,0.0005243750,12,42.680411,3.556701
