stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000130783,0.0000019833,1,1.856763,1.856763
forward,0.0043325164,0.0006570261,2001,549.390650,0.274558
backward_update,0.0052185673,0.0007913957,2001,661.747548,0.330708
evaluation,0.0017301069,0.0002623707,11,219.986613,19.998783
training_loop,0.0095510837,0.0014484218,12,1225.679699,102.139975
