stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000063942,0.0000009697,1,0.617385,0.617385
encoding,0.0000057770,0.0000008761,1,0.512145,0.512145
generation,0.0000544165,0.0000082523,1,4.027405,4.027405
decoding,0.0000061134,0.0000009271,1,0.505897,0.505897
