stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000067433,0.0000010226,1,0.624403,0.624403
encoding,0.0000055595,0.0000008431,1,0.511884,0.511884
generation,0.0000877305,0.0000133043,1,6.333255,6.333255
decoding,0.0000057512,0.0000008722,1,0.505233,0.505233
