stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000071944,0.0000010910,1,0.643680,0.643680
encoding,0.0000057512,0.0000008722,1,0.508976,0.508976
generation,0.0000743810,0.0000112799,1,5.438616,5.438616
decoding,0.0000056351,0.0000008546,1,0.503903,0.503903
