stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000070608,0.0000010708,1,0.621738,0.621738
encoding,0.0000056185,0.0000008520,1,0.511952,0.511952
generation,0.0000409213,0.0000062057,1,3.074793,3.074793
decoding,0.0000058802,0.0000008917,1,0.505065,0.505065
