stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000066054,0.0000010017,1,0.619134,0.619134
encoding,0.0000058993,0.0000008946,1,0.511350,0.511350
generation,0.0001085502,0.0000164616,1,7.766551,7.766551
decoding,0.0000057831,0.0000008770,1,0.503552,0.503552
