stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000071980,0.0000010916,1,0.674365,0.674365
encoding,0.0000059280,0.0000008990,1,0.510081,0.510081
generation,0.0000397725,0.0000060315,1,2.983458,2.983458
decoding,0.0000059530,0.0000009028,1,0.507883,0.507883
