stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000089620,0.0000013591,1,0.675526,0.675526
encoding,0.0000061560,0.0000009336,1,0.511304,0.511304
generation,0.0000381720,0.0000057888,1,2.861677,2.861677
decoding,0.0000059065,0.0000008957,1,0.504640,0.504640
