stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000083978,0.0000012735,1,0.669918,0.669918
encoding,0.0000055891,0.0000008476,1,0.509309,0.509309
generation,0.0000542719,0.0000082303,1,3.521677,3.521677
decoding,0.0000062340,0.0000009454,1,0.507102,0.507102
