stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000063800,0.0000009675,1,0.596965,0.596965
encoding,0.0000055299,0.0000008386,1,0.509624,0.509624
generation,0.0000400108,0.0000060676,1,3.021647,3.021647
decoding,0.0000059761,0.0000009063,1,0.507457,0.507457
