stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000069062,0.0000010473,1,0.616747,0.616747
encoding,0.0000057162,0.0000008669,1,0.513166,0.513166
generation,0.0000367404,0.0000055717,1,2.809782,2.809782
decoding,0.0000056962,0.0000008638,1,0.504160,0.504160
