stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000704854,0.0000106891,1,1.962528,1.962528
forward,0.0014352403,0.0002176542,2001,11.822478,0.005908
backward_update,0.0024125686,0.0003658660,2001,19.873006,0.009932
evaluation,0.0009382846,0.0001422909,11,12.829312,1.166301
training_loop,0.0038478090,0.0005835202,12,42.665212,3.555434
