stage,energy_kwh,emissions_kg,n_calls,total_duration_s,mean_call_duration_s
setup,0.0000076654,0.0000011625,1,0.542192,0.542192
forward,0.0035375799,0.0005364740,2001,29.281016,0.014633
backward_update,0.0054437619,0.0008255465,2001,45.058737,0.022518
evaluation,0.0018492016,0.0002804314,11,21.013466,1.910315
training_loop,0.0089813418,0.0013620205,12,93.491877,7.790990
